"class","term","week","subject","topic","agegroup","context","generated"
"Jss 1","Calvary Term","8","Home Economics","Making Income-Yielding Crafts","10-11","Learning to produce crafts for sale: tie-dye fabrics, batik fabrics, embroidered items; understanding entrepreneurship","false"
"Jss 1","Calvary Term","9","Home Economics","Tie-Dye and Batik Fabric Production","10-11","Learning tie-dye and batik techniques; understanding materials needed, dyeing process, and creating patterns on fabric","false"
"Jss 1","Calvary Term","10","Home Economics","Display and Sale of Household Articles","10-11","Learning to display finished products attractively; understanding how to sell household articles and crafts for income","false"
"Jss 1","Summer Term","1","Home Economics","Types of Home-Made Cleaning Agents","10-11","Understanding home-made cleaning agents: furniture polish, floor cleaner, glass cleaner, metal polish made from local materials","false"
"Jss 1","Summer Term","2","Home Economics","Uses and Preparation of Cleaning Agents","10-11","Learning uses of different cleaning agents; preparing home-made polish using kerosene, turpentine, candle wax, palm oil","false"
"Jss 1","Summer Term","3","Home Economics","Using Home-Made Polish and Cleaners","10-11","Practicing how to polish furniture and clean household items using prepared home-made cleaning agents","false"
"Jss 1","Summer Term","4","Home Economics","Types and Uses of Cosmetics","10-11","Understanding cosmetics: pomade, cream, deodorants, perfumes; learning their uses for personal care and hygiene","false"
"Jss 1","Summer Term","5","Home Economics","Materials and Tools for Making Cosmetics","10-11","Learning materials and tools needed to make pomade, cream, and deodorants; understanding safety in cosmetic production","false"
"Jss 1","Summer Term","6","Home Economics","Safety and Regulatory Control of Cosmetics","10-11","Understanding importance of quality control; learning roles of NAFDAC and SON in regulating cosmetic products in Nigeria","false"
"Jss 1","Summer Term","7","Home Economics","Making Pomade, Cream and Deodorants","10-11","Practicing production of cosmetics following proper procedures; displaying finished products safely","false"
"Jss 1","Summer Term","8","Home Economics","Healthy Feeding and Eating Practices","10-11","Learning healthy practices: eating adequate diet, using seasonal foods, washing hands, chewing properly, avoiding overeating","false"
"Jss 1","Summer Term","9","Home Economics","Food Additives and Harmful Substances","10-11","Understanding food additives (uses and misuses), food contaminants, harmful substances like banned additives, spoilt fruits, undercooked food","false"
"Jss 1","Summer Term","10","Home Economics","Drug Abuse and Effects on the Body","10-11","Understanding what drug abuse is; learning harmful effects of drug abuse on physical and mental health","false"
"Jss 1","Noel Term","1","Physical and Health Education","Physical Fitness: Meaning and Components","10-11","Understanding what physical fitness is; learning health-related components (cardiovascular endurance, muscular strength, flexibility, body composition)","false"
"Jss 1","Noel Term","2","Physical and Health Education","Performance-Related Components of Fitness","10-11","Learning performance components: agility (changing direction), balance, coordination, power, reaction time, speed","false"
"Jss 1","Noel Term","3","Physical and Health Education","Characteristics of Physically Fit Person","10-11","Identifying characteristics: good posture, healthy weight, strong muscles, good stamina, active lifestyle, positive attitude","false"
"Jss 1","Noel Term","4","Physical and Health Education","Importance of Physical Fitness","10-11","Understanding benefits: improved health, disease prevention, better academic performance, stress relief, confidence building","false"
"Jss 1","Noel Term","5","Physical and Health Education","Exercises for Strength Development","10-11","Learning and practicing exercises to develop muscular strength: push-ups, sit-ups, squats, resistance exercises","false"
"Jss 1","Noel Term","6","Physical and Health Education","Exercises for Endurance and Flexibility","10-11","Practicing endurance exercises (running, jogging) and flexibility exercises (stretching, yoga poses) safely","false"
"Jss 1","Noel Term","7","Physical and Health Education","Safety Precautions During Exercise","10-11","Learning safety measures: proper warm-up, correct form, hydration, recognizing warning signs, cooling down, appropriate clothing","false"
"Jss 1","Noel Term","8","Physical and Health Education","Recreation and Leisure: Meaning and Differences","10-11","Understanding recreation (refreshing activities), leisure (free time), and dance (rhythmic body movement); learning their differences","false"
"Jss 1","Noel Term","9","Physical and Health Education","Components of Recreation and Dance","10-11","Identifying components of recreation (active, passive) and dance (traditional, modern); learning types of recreational activities","false"
"Jss 1","Noel Term","10","Physical and Health Education","Benefits of Recreation and Dance","10-11","Understanding benefits: refreshment of body and mind, fun, mental alertness, social and emotional stability, skill development","false"
"Jss 1","Calvary Term","1","Physical and Health Education","Athletics: Definition and Field Events","10-11","Understanding athletics as track and field sports; learning about field events: shot put and discus throwing","false"
